Date,act1_price,act2_price,act3_price,act4_price,act5_price
19/02/2016,16391.99023,4504.430176,1010.01001,20.530001,90.020073
22/02/2016,16620.66016,4570.609863,1021.73999,19.379999,90.807411
23/02/2016,16431.7793,4503.580078,1012.150024,20.98,88.754677
24/02/2016,16484.99023,4542.609863,1022.080017,20.719999,90.076309
25/02/2016,16697.28906,4582.200195,1031.579956,19.110001,90.694946
26/02/2016,16639.9707,4590.470215,1037.180054,19.809999,90.835548
29/02/2016,16516.5,4557.950195,1033.900024,20.549999,90.629341
01/03/2016,16865.08008,4689.600098,1054.48999,17.700001,94.228645
02/03/2016,16899.32031,4703.419922,1065.670044,17.09,94.434853
03/03/2016,16943.90039,4707.419922,1076.050049,16.700001,95.137848
04/03/2016,17006.76953,4717.02002,1081.930054,16.860001,96.553185
07/03/2016,17073.94922,4708.25,1094.150024,17.35,95.484657
08/03/2016,16964.09961,4648.819824,1067.880005,18.67,94.697304
09/03/2016,17000.35938,4674.379883,1072.77002,18.34,94.781654
10/03/2016,16995.13086,4662.160156,1063.98999,18.049999,94.828529
11/03/2016,17213.31055,4748.470215,1087.560059,16.5,95.850197
14/03/2016,17229.13086,4750.279785,1084.25,16.92,96.09391
15/03/2016,17251.5293,4728.669922,1066.670044,16.84,98.02478
16/03/2016,17325.75977,4763.970215,1074.51001,14.99,99.32766
17/03/2016,17481.49023,4774.990234,1091.25,14.44,99.168297
18/03/2016,17602.30078,4795.649902,1101.670044,14.02,99.280777
21/03/2016,17623.86914,4808.870117,1098.579956,13.79,99.271408
22/03/2016,17582.57031,4821.660156,1097.339966,14.17,100.030655
23/03/2016,17502.58984,4768.859863,1075.699951,14.94,99.477623
24/03/2016,17515.73047,4773.5,1079.540039,14.74,99.046455
28/03/2016,17535.39063,4766.790039,1080.22998,15.24,98.59655
29/03/2016,17633.10938,4846.620117,1109.079956,13.82,100.930466
30/03/2016,17716.66016,4869.290039,1110.439941,13.56,102.692619
31/03/2016,17685.08984,4869.850098,1114.030029,13.95,102.158356
01/04/2016,17792.75,4914.540039,1117.680054,13.1,103.095665
04/04/2016,17737,4891.799805,1108.540039,14.12,104.154839
05/04/2016,17603.32031,4843.930176,1095.849976,15.42,102.926964
06/04/2016,17716.05078,4920.720215,1108.810059,14.09,104.00486
07/04/2016,17541.96094,4848.370117,1092.790039,16.16,101.736557
08/04/2016,17576.96094,4850.689941,1097.310059,15.36,101.849045
11/04/2016,17556.41016,4833.399902,1094.339966,16.26,102.18647
12/04/2016,17721.25,4872.089844,1105.709961,14.85,103.517471
13/04/2016,17908.2793,4947.419922,1129.930054,13.84,105.017174
14/04/2016,17926.42969,4945.890137,1128.589966,13.72,105.07341
15/04/2016,17897.46094,4938.220215,1130.920044,13.62,102.964447
18/04/2016,18004.16016,4960.02002,1139.280029,13.35,100.742996
19/04/2016,18053.59961,4940.330078,1140.22998,13.24,100.20874
20/04/2016,18096.26953,4948.129883,1142.290039,13.28,100.414948
21/04/2016,17982.51953,4945.890137,1135.77002,13.95,99.32766
22/04/2016,18003.75,4906.22998,1146.689941,13.22,99.055832
25/04/2016,17977.24023,4895.790039,1138.099976,14.08,98.493446
26/04/2016,17990.32031,4888.279785,1150.72998,13.96,97.809196
27/04/2016,18041.55078,4863.140137,1154.150024,13.77,91.688515
28/04/2016,17830.75977,4805.290039,1140.400024,15.22,88.885933
29/04/2016,17773.64063,4775.359863,1130.849976,15.7,87.864235
02/05/2016,17891.16016,4817.589844,1140.920044,14.68,87.770515
03/05/2016,17750.91016,4763.220215,1121.76001,15.6,89.213974
04/05/2016,17651.25977,4725.640137,1113.130005,16.049999,88.286034
05/05/2016,17660.71094,4717.089844,1107.949951,15.91,87.927696
06/05/2016,17740.63086,4736.160156,1114.719971,14.72,87.437325
09/05/2016,17705.91016,4750.209961,1118.25,14.57,87.503319
10/05/2016,17928.34961,4809.879883,1128.829956,13.63,88.097427
11/05/2016,17711.11914,4760.689941,1114.73999,14.69,87.239273
12/05/2016,17720.5,4737.330078,1108.599976,14.41,85.192909
13/05/2016,17535.32031,4717.680176,1102.439941,15.04,85.362656
16/05/2016,17710.71094,4775.459961,1116.209961,14.68,88.531227
17/05/2016,17529.98047,4715.72998,1097.680054,15.57,88.163445
18/05/2016,17526.61914,4739.120117,1102.949951,15.95,89.172478
19/05/2016,17435.40039,4712.529785,1094.780029,16.33,88.832985
20/05/2016,17500.93945,4769.560059,1112.280029,15.2,89.794868
23/05/2016,17492.92969,4765.779785,1111.369995,15.82,90.935936
